# 21aefx_opt-mangled.dat                 writespec.pro: Wed Oct 19 12:26:28 2022
# wavelength(um) flux(mJy)
     0.433127      0.22308763
     0.433220      0.22284851
     0.433314      0.21309209
     0.433407      0.21301819
     0.433500      0.22250695
     0.433593      0.22749160
     0.433686      0.23215999
     0.433780      0.23272242
     0.433873      0.23808513
     0.433966      0.24358810
     0.434059      0.23390563
     0.434153      0.22725215
     0.434246      0.22676640
     0.434339      0.22991965
     0.434432      0.23044102
     0.434525      0.23248032
     0.434619      0.22799923
     0.434712      0.22330412
     0.434805      0.21589742
     0.434898      0.21687660
     0.434991      0.21959792
     0.435085      0.22376183
     0.435178      0.22478343
     0.435271      0.22867404
     0.435364      0.22394213
     0.435458      0.22119423
     0.435551      0.23142066
     0.435644      0.23418224
     0.435737      0.22953171
     0.435830      0.22890463
     0.435924      0.22883634
     0.436017      0.22801617
     0.436110      0.22703226
     0.436203      0.23275295
     0.436297      0.24083580
     0.436390      0.24057499
     0.436483      0.22978725
     0.436576      0.23134941
     0.436669      0.23623151
     0.436763      0.23245038
     0.436856      0.22525940
     0.436949      0.22582895
     0.437042      0.23104997
     0.437136      0.23166550
     0.437229      0.22446269
     0.437322      0.23054287
     0.437415      0.24007962
     0.437508      0.23934420
     0.437602      0.23003996
     0.437695      0.22308621
     0.437788      0.22883556
     0.437881      0.23274390
     0.437974      0.23127849
     0.438068      0.23437960
     0.438161      0.23554659
     0.438254      0.23040929
     0.438347      0.22933634
     0.438441      0.23458253
     0.438534      0.23490476
     0.438627      0.23333544
     0.438720      0.23170675
     0.438813      0.23746740
     0.438907      0.24306765
     0.439000      0.24213438
     0.439093      0.22440986
     0.439186      0.22390781
     0.439280      0.23926543
     0.439373      0.24634803
     0.439466      0.24093838
     0.439559      0.23247003
     0.439652      0.23675318
     0.439746      0.24990940
     0.439839      0.25146912
     0.439932      0.23900517
     0.440025      0.23099355
     0.440119      0.23393364
     0.440212      0.24180931
     0.440305      0.24587561
     0.440398      0.24448279
     0.440491      0.24301291
     0.440585      0.23914494
     0.440678      0.24198827
     0.440771      0.23998872
     0.440864      0.23863642
     0.440957      0.23733397
     0.441051      0.23340679
     0.441144      0.23109134
     0.441237      0.23160246
     0.441330      0.23705219
     0.441424      0.23617757
     0.441517      0.23174796
     0.441610      0.23283309
     0.441703      0.23507384
     0.441796      0.24123453
     0.441890      0.24199263
     0.441983      0.23651374
     0.442076      0.23398378
     0.442169      0.23682412
     0.442263      0.24594248
     0.442356      0.24434353
     0.442449      0.23776937
     0.442542      0.23697145
     0.442635      0.24221713
     0.442729      0.24716806
     0.442822      0.24174816
     0.442915      0.23667460
     0.443008      0.23896288
     0.443102      0.24473301
     0.443195      0.24372494
     0.443288      0.24050842
     0.443381      0.24226682
     0.443474      0.24239568
     0.443568      0.23162154
     0.443661      0.22865138
     0.443754      0.23783518
     0.443847      0.23446620
     0.443940      0.23413411
     0.444034      0.23995457
     0.444127      0.23888521
     0.444220      0.23148965
     0.444313      0.22498807
     0.444407      0.22501231
     0.444500      0.23106346
     0.444593      0.23291481
     0.444686      0.23229457
     0.444779      0.23205927
     0.444873      0.22812437
     0.444966      0.22686394
     0.445059      0.21844718
     0.445152      0.22320480
     0.445246      0.23276665
     0.445339      0.23603337
     0.445432      0.23223424
     0.445525      0.22351041
     0.445618      0.21976858
     0.445712      0.22269540
     0.445805      0.22054060
     0.445898      0.21523131
     0.445991      0.21579199
     0.446085      0.22201113
     0.446178      0.22317519
     0.446271      0.21156134
     0.446364      0.20297531
     0.446457      0.20468955
     0.446551      0.20920906
     0.446644      0.21177821
     0.446737      0.21581646
     0.446830      0.21165885
     0.446923      0.20881778
     0.447017      0.20866702
     0.447110      0.20325261
     0.447203      0.19532684
     0.447296      0.19164880
     0.447390      0.19098073
     0.447483      0.19657098
     0.447576      0.20052137
     0.447669      0.20074882
     0.447762      0.20079560
     0.447856      0.20711090
     0.447949      0.21678187
     0.448042      0.21144349
     0.448135      0.19733989
     0.448229      0.19368770
     0.448322      0.19799628
     0.448415      0.19808899
     0.448508      0.18522220
     0.448601      0.17576744
     0.448695      0.18195615
     0.448788      0.18812706
     0.448881      0.19272219
     0.448974      0.19651816
     0.449068      0.19536845
     0.449161      0.18678004
     0.449254      0.18605535
     0.449347      0.18037893
     0.449440      0.17401636
     0.449534      0.17619386
     0.449627      0.17913885
     0.449720      0.18840918
     0.449813      0.19169023
     0.449906      0.19538282
     0.450000      0.18904130
     0.450093      0.18040254
     0.450186      0.17224943
     0.450279      0.17656929
     0.450373      0.17646320
     0.450466      0.17368584
     0.450559      0.17681071
     0.450652      0.18478860
     0.450745      0.18308432
     0.450839      0.17165404
     0.450932      0.16761380
     0.451025      0.17172528
     0.451118      0.17099701
     0.451212      0.16232516
     0.451305      0.16343091
     0.451398      0.18738482
     0.451491      0.19782135
     0.451584      0.18265309
     0.451678      0.18154543
     0.451771      0.18420243
