# wavelength(um) flux(mJy)
5.790459999999999496e-01 1.014570000000000055e-01
5.794169999999999598e-01 1.136069999999999997e-01
5.797879999999999701e-01 1.131149999999999933e-01
5.801589999999999803e-01 1.078479999999999994e-01
5.805299999999999905e-01 1.219240000000000046e-01
5.809010000000000007e-01 1.266470000000000096e-01
5.812720000000000109e-01 1.304400000000000004e-01
5.816430000000000211e-01 1.273559999999999970e-01
5.820140000000000313e-01 1.433099999999999929e-01
5.823850000000000415e-01 1.247179999999999955e-01
5.827560000000000517e-01 1.394289999999999974e-01
5.831269999999999509e-01 1.491500000000000048e-01
5.834979999999999611e-01 1.458800000000000097e-01
5.838689999999999714e-01 1.431179999999999952e-01
5.842399999999999816e-01 1.599919999999999953e-01
5.846109999999999918e-01 1.588859999999999995e-01
5.849820000000000020e-01 1.703210000000000002e-01
5.853530000000000122e-01 1.672669999999999990e-01
5.857240000000000224e-01 1.714449999999999863e-01
5.860950000000000326e-01 1.715740000000000043e-01
5.864660000000000428e-01 1.781729999999999980e-01
5.868370000000000530e-01 1.797900000000000054e-01
5.872089999999999810e-01 1.730480000000000074e-01
5.875789999999999624e-01 1.689799999999999913e-01
5.879499999999999726e-01 1.889490000000000058e-01
5.883209999999999829e-01 1.769590000000000052e-01
5.886919999999999931e-01 1.838039999999999952e-01
5.890630000000000033e-01 1.844260000000000066e-01
5.894340000000000135e-01 1.767640000000000045e-01
5.898050000000000237e-01 1.854149999999999965e-01
5.901760000000000339e-01 1.822489999999999943e-01
5.905479999999999619e-01 1.904510000000000092e-01
5.909180000000000543e-01 1.873410000000000075e-01
5.912899999999999823e-01 1.848589999999999955e-01
5.916599999999999637e-01 1.860690000000000122e-01
5.920309999999999739e-01 1.819300000000000084e-01
5.924019999999999841e-01 1.837370000000000114e-01
5.927740000000000231e-01 1.818619999999999959e-01
5.931450000000000333e-01 1.779550000000000021e-01
5.935160000000000435e-01 1.776639999999999886e-01
5.938870000000000537e-01 1.802829999999999988e-01
5.942579999999999529e-01 1.731330000000000091e-01
5.946289999999999631e-01 1.724449999999999872e-01
5.949999999999999734e-01 1.701630000000000087e-01
5.953709999999999836e-01 1.667700000000000016e-01
5.957419999999999938e-01 1.606569999999999943e-01
5.961130000000000040e-01 1.667540000000000133e-01
5.964840000000000142e-01 1.680919999999999914e-01
5.968550000000000244e-01 1.590119999999999867e-01
5.972260000000000346e-01 1.497110000000000107e-01
