# wavelength(um) flux(mJy)
4.404021936735852627e+00 2.722100876843265571e-02
4.412986780240879092e+00 3.023558345113565998e-02
4.421932469301423474e+00 3.028970073124015450e-02
4.430859130952497615e+00 2.914225627234531130e-02
4.439766320027971780e+00 2.921859791072062285e-02
4.448654096477664410e+00 2.629161150438427685e-02
4.457523058701732488e+00 2.961075878207958256e-02
4.466373473531451310e+00 3.079988355226523367e-02
4.475205163523889418e+00 2.096349825412397588e-02
4.484017818821384616e+00 2.829566321147573837e-02
4.492811868509194007e+00 2.999141675422974801e-02
4.501587836831355993e+00 3.039743515334839691e-02
4.510345631465074057e+00 3.017887225251371028e-02
4.519084759504646165e+00 2.802113203068817837e-02
4.527805659432722507e+00 3.378949659368885028e-02
4.536508930519278948e+00 3.190850576000082289e-02
4.545194390070037116e+00 2.841754413168148113e-02
4.553861541608404728e+00 2.955854878434208827e-02
4.562511004774376211e+00 3.093781968674638033e-02
4.571143278583037706e+00 3.241756692083078845e-02
4.579757921300207535e+00 3.287090359631098663e-02
4.588354605368192729e+00 3.423425175032216577e-02
4.596934296673900633e+00 3.190052441817092799e-02
4.605497114119331492e+00 2.733522104930706520e-02
4.614042222612243727e+00 3.160992956341814736e-02
4.622570214259511090e+00 3.301029829751624123e-02
4.631081752134085683e+00 3.314751442762964295e-02
4.639576291087160520e+00 3.335708630380281037e-02
4.648053455202217243e+00 3.359326416600351417e-02
4.656514460868627303e+00 2.850044919134767096e-02
4.664958996503306032e+00 3.274324826277601880e-02
4.673386396201436810e+00 3.239878109048727195e-02
4.681797711296901809e+00 1.913667692964707984e-02
4.690192990306432996e+00 2.128536681760099733e-02
4.698571367907718788e+00 3.044977599463863024e-02
4.706933817360650529e+00 2.785860781532929764e-02
4.715280572261822734e+00 2.417817513610952262e-02
4.723610656008578879e+00 2.198733413063353945e-02
4.731925048439997283e+00 2.572499948743982301e-02
4.740223997902659470e+00 2.899238432741511884e-02
4.748506502286745423e+00 2.710818251506869406e-02
4.756773630401293751e+00 2.580230283303598660e-02
4.765025479569909628e+00 2.405150387423326055e-02
4.773261105651626757e+00 2.411030864876451824e-02
4.781481746618342576e+00 2.088283307014388024e-02
4.814211031770072147e+00 2.712225885607148779e-02
4.822355170917320244e+00 2.376204720172257409e-02
4.830485008097499922e+00 2.221497473054683675e-02
4.838599187819771608e+00 2.232137683207374018e-02
4.846698825188782145e+00 2.541256866450753230e-02
4.854784019273630236e+00 2.511614279019442134e-02
4.862853763833718368e+00 2.748173630403355841e-02
4.870909623172727798e+00 2.976966662141179373e-02
4.878950450444540898e+00 2.857746041346129195e-02
4.886976772826103321e+00 3.224262279474197912e-02
4.894989186889034727e+00 3.079148441841875194e-02
4.902986483161360987e+00 2.809743474678182487e-02
4.910970190267904378e+00 2.976047255461247015e-02
4.918939264710972203e+00 3.012573936627953655e-02
4.926894175304915358e+00 3.053754356614917995e-02
4.934835495663492999e+00 2.947558526276428115e-02
4.942762020578638449e+00 2.933644444381672267e-02
4.950675442897588319e+00 2.669519783899826360e-02
4.958574221987916530e+00 3.060038773763697206e-02
